weight,Y,concept,LABEL T,typology,occ,X_max_tot
-2,21,airquallity,@blanchecameron,user,4,-334
2,21,airquallity,cooling,hash,4,334
2,23,airquallity,greeninfrastructure,hash,16,334
2,22,airquallity,resilience,hash,6,334
-5,79,arbre,@a_arbres,user,10,-133,6
-5,78,arbre,@anne_hidalgo,user,262,-133,6
-16,72,arbre,@baratti_elbaz,user,29,-41,75
-6,,arbre,@biodiver_cite,user,26,-111,3333333
-2,71,arbre,@chrystelou,user,5,-334
-2,72,arbre,@cosyworking,user,2,-334
-2,,arbre,@emmabir,user,3,-334
-2,77,arbre,@enedis_paris,user,15,-334
-2,79,arbre,@getchtchern,user,2,-334
-7,75,arbre,@hugoclement,user,11,-95,42857143
-6,76,arbre,@la_breche,user,27,-111,3333333
-2,76,arbre,@matuemisako,user,2,-334
-2,75,arbre,@oliviercompes,user,2,-334
-2,,arbre,@paris,user,1013,-334
-5,77,arbre,@paris,user,1013,-133,6
-3,,arbre,@parisnature,user,26,-222,6666667
-6,78,arbre,@parisnature,user,26,-111,3333333
-17,71,arbre,@pkomites,user,170,-39,29411765
-2,,arbre,@riegisabelle,user,3,-334
-2,74,arbre,@scoopit,user,14,-334
-2,73,arbre,@sebastien_lucas,user,2,-334
-2,78,arbre,@ssocratique,user,2,-334
-6,79,arbre,@tweety_doc,user,18,-111,3333333
-3,,arbre,@vigienature,user,3,-222,6666667
-2,,arbre,@yvespdb,user,3,-334
2,,arbre,abattage,hash,5,334
5,78,arbre,anne hidalgo,hash,271,133,6
3,,arbre,arbresparis,hash,3,222,6666667
2,,arbre,arbustes,hash,3,334
2,,arbre,archaïsme,hash,4,334
28,77,arbre,auteur,hash,28,23,85714286
5,77,arbre,automne,hash,143,133,6
16,78,arbre,baratti,hash,27,41,75
3,74,arbre,berche,hash,3,222,6666667
6,74,arbre,breche,hash,23,111,3333333
4,74,arbre,breche,hash,23,167
2,,arbre,buttes,hash,2,334
2,,arbre,cest,hash,2,334
6,76,arbre,cite,hash,17,111,3333333
3,72,arbre,citoyen,hash,133,222,6666667
2,,arbre,coeur,hash,34,334
2,,arbre,colors,hash,329,334
2,,arbre,cop21,hash,35,334
2,78,arbre,couleurs dautomne,hash,14,334
13,79,arbre,cour,hash,15,51,38461538
6,75,arbre,doc,hash,17,111,3333333
4,79,arbre,environnement,hash,55,167
9,71,arbre,équilibre écologique,hash,9,74,22222222
51,72,arbre,érable,hash,52,13,09803922
2,79,arbre,fall,hash,34,334
2,,arbre,flickr,hash,4,334
3,,arbre,fourmis,hash,9,222,6666667
2,,arbre,ginkgo,hash,6,334
6,73,arbre,grâce,hash,7,111,3333333
3,,arbre,grand public,hash,3,222,6666667
9,73,arbre,haies,hash,9,74,22222222
2,,arbre,halle,hash,3,334
2,,arbre,heart,hash,2,334
56,71,arbre,immeuble,hash,63,11,92857143
2,,arbre,incohérence,hash,2,334
4,73,arbre,jardin,hash,1228,167
2,,arbre,jardin,hash,1228,334
2,,arbre,jardin du luxembourg,hash,766,334
2,,arbre,landscape,hash,10,334
2,,arbre,luko,hash,4,334
7,78,arbre,m2,hash,8,95,42857143
28,76,arbre,mairie de paris,hash,213,23,85714286
9,72,arbre,moineau,hash,23,74,22222222
