t,a
Aspect de la Salle de l'Opéra le jour de la représentation de gala donnée en l'honneur de S. M. l'Empereur de Russie : [estampe],"Fichot-Pauquet. Illustrateur,"
"[18-11-08, obsèques du grand-duc de Russie Alexis], à pied le général Dalstein [parlant au général Goirand à cheval] : [photographie de presse] / [Agence Rol]","Agence Rol. Agence photographique,"
Adieux de l'Empereur de Russie au Roi et à la Reine de Prusse : [estampe],"Jury, W.. Dessinateur"
"[14-3-15] aux Invalides, Mr Millerand reçoit des ambulances offertes par la Russie [rangée d'ambulances dans la cour des Invalides] : [photographie de presse] / [Agence Rol]","Agence Rol. Agence photographique,"
Thèses sur la Russie passée et présente,"Besançon, Alain"
"La Colonisation de la Russie et du Nord scandinave et leur plus ancien état de civilisation [""Ruslands og det skandinaviske Nordens Bebyggelse og oeldste Kulturforhold""], essai d'archéologie préhistorique comparative, par J. J. A. Worsaae. Traduit par E. Beauvois...","Worsaae, Jens Jacob Asmussen (1821-1885). Auteur du texte"
"Seconde partie de la carte d'Europe contenant le Danemark et la Norvège, la Suède et la Russie [à l'exception de l'Ukraine] / publiée sous les auspices de monseigneur Louis Philippe d'Orléans, par le Sr d'Anville ; gravé par G. De la Haye","Anville, Jean-Baptiste Bourguignon d' (1697-1782). Cartographe"
"Seconde partie de la carte d'Europe contenant le Danemark et la Norvège, la Suède et la Russie [à l'exception de l'Ukraine] / publiée sous les auspices de monseigneur Louis Philippe d'Orléans, par le Sr d'Anville ; gravé par G. De la Haye","Delahaye, Guillaume-Nicolas (1727-1802). Graveur"
"Seconde partie de la carte d'Europe contenant le Danemark et la Norvège, la Suède et la Russie [à l'exception de l'Ukraine] / publiée sous les auspices de monseigneur Louis Philippe d'Orléans, par le Sr d'Anville ; gravé par G. De la Haye","Gravelot (1699-1773). Graveur,"
"Laurent Touchart : La Russie et le changement climatique, une nouvelle géographie du froid L’Harmattan. 2011. 267p.","Norrant-Romand, Caroline"
Famine en Russie : [photographie de presse] / [Agence Rol],"Agence Rol. Agence photographique,"
Voyage de Mr Poincaré en Russie : le monument d'Alexandre III et la cathédrale St Isaac à St Petersbourg : [photographie de presse] / Agence Meurisse,"Agence de presse Meurisse. Agence photographique,"
"Liste de seize mille militaires Français ou au service de France, faits prisonniers de guerre de 1810 à 1814, et qui sont morts en Russie, en Pologne et en Allemagne , suivie d'une autre liste de militaires encore vivans en Russie ; publiée par E. G. C. Mehliss","Mehliss, E. G. C."
Hordes faméliques et colons militaires en Russie d’après le baron de la Ruë (1834),"Ybert-Chabrier, Édith"
La carte des sols de la Russie publiée par le département de l'agriculture,"d'Almeida, P. Camena"
"Marc Raeff, Politique et culture en Russie 18e-20e siècles","Georges, Nivat"
Comment les Russes sont-ils devenus (co)propriétaires ? : illégalismes administratifs et socialisation au droit en Russie postcommuniste,"Richard, Helene"
S'opposer par le droit : vulgarisation et usages politiques du droit de la copropriété en Russie postcommuniste,"Richard, Hélène"
La Russie en forte dépopulation,"Dumont, Gérard-François"
Sur les mouvements de l'écorce terrestre dans la Russie d'Europe,"Karpinsky, A."
L'empire ottoman et le panislamisme dans la Russie turcophone,"Deringil, Selim"
La Russie et l'Occident,"Kulesza-Mietkowski, Ewa"
La Russie et l'Occident,"Kulesza, Eva"
La Russie et l'Occident,"Ewa, Kulesza-Mietkowski"
"Groupes et classes sociales en Russie soviétique à travers les films de l'époque de 1917 à 1925 : A travers les films de l'époque. Filmographie soviétique, 1917-1921","Barale, Florence"
Travaux et publications parus en français en 1971 sur la Russie et l'URSS [Domaine des sciences sociales],"Aymard, Marguerite"
Union européenne - Russie : une relation particulière ?,"Turpin, Frédéric"
Union européenne - Russie : une relation particulière ?,"Gratchev, Andrei"
Union européenne - Russie : une relation particulière ?,"Therme, Clément"
Union européenne - Russie : une relation particulière ?,"Brunat, Éric"
Union européenne - Russie : une relation particulière ?,"Brunat, Eric"
Union européenne - Russie : une relation particulière ?,"Lobasenko, Valeriia"
"Bensidoun (Sylvain) - L'agitation paysanne en Russie de 1881 à 1902, Etude comparative entre le Cernozem central et la nouvelle Russie.","Collin de Plancy, Jacques-Albin-Simon (1794-1881)"
"Bensidoun (Sylvain) - L'agitation paysanne en Russie de 1881 à 1902, Etude comparative entre le Cernozem central et la nouvelle Russie.","Jean, Collin A."
"Bensidoun (Sylvain) - L'agitation paysanne en Russie de 1881 à 1902, Etude comparative entre le Cernozem central et la nouvelle Russie.","Collin, J.-S."
"Bensidoun (Sylvain) - L'agitation paysanne en Russie de 1881 à 1902, Etude comparative entre le Cernozem central et la nouvelle Russie.","Néri, Julien"
"Bensidoun (Sylvain) - L'agitation paysanne en Russie de 1881 à 1902, Etude comparative entre le Cernozem central et la nouvelle Russie.","Collin, Auguste"
"Bensidoun (Sylvain) - L'agitation paysanne en Russie de 1881 à 1902, Etude comparative entre le Cernozem central et la nouvelle Russie.","Colin, A. (Dr)"
"Bensidoun (Sylvain) - L'agitation paysanne en Russie de 1881 à 1902, Etude comparative entre le Cernozem central et la nouvelle Russie.","Collin, Auguste (Dr)"
"Bensidoun (Sylvain) - L'agitation paysanne en Russie de 1881 à 1902, Etude comparative entre le Cernozem central et la nouvelle Russie.","Collin, Victor (Dr)"
"Bensidoun (Sylvain) - L'agitation paysanne en Russie de 1881 à 1902, Etude comparative entre le Cernozem central et la nouvelle Russie.","Collin, Dr"
"Bensidoun (Sylvain) - L'agitation paysanne en Russie de 1881 à 1902, Etude comparative entre le Cernozem central et la nouvelle Russie.","Danton, A."
"V.P. Stepanov (éd.) : La Noblesse de service en Russie dans la deuxième moitié du XVIIIe siècle (1765-1795)., 2003","Jacques, Prébet"
Union européenne - Russie : une relation particulière ?,"Soutou, Georges-Henri"
La politique de la Russie en Asie Centrale sous le président Vladimir Poutine (2000-2008),"Ravshanov, Otabek"
La nouvelle Russie et l’Europe,"Adler, Alexandre"
Hélène Carrère d'Encausse. La Russie inachevée,"Anne, De Tinguy"
Hélène Carrère d'Encausse. La Russie inachevée,"Anne, de Tinguy"
Hélène Carrère d'Encausse. La Russie inachevée,"Claire-Anne, De Chazelles"
Hélène Carrère d'Encausse. La Russie inachevée,"Anne, de Mathan"
Hélène Carrère d'Encausse. La Russie inachevée,"Anne, De Saulce"
