t,a
Marchands en Russie aux XVIIe - XVIIIe siècles,"Kellenbenz, Hermann"
Marchands en Russie aux XVIIe - XVIIIe siècles,"Hermann, Kellenbenz"
Marchands en Russie aux XVIIe - XVIIIe siècles,"Kellenbenz, H."
"Book Reviewed : La politique étrangère de la Russie et l’Europe. Enjeux d’une proximité. By Tanguy de Wilde d’Estmael and Laetitia Spetschinsky (dir.), Bruxelles, P.I.E.-Peter Lang, Coll. « Geopolitics and conflict resolution », 2004","Matagne, Geoffroy"
Bibliographie des travaux parus en France concernant la Russie et l'URSS (année 1969),"Lhéritier, Andrée"
L'aventure de Serge Rouvanoff : la Russie contemporaine / par Eugène Parès,"Parès, Eugène"
1812. Campagne de Russie / par Alfred Assollant ; illustré de 40 gravures par J. Worms,"Assollant, Alfred (1827-1886)"
Le crime organisé en Russie : nouvelles approches,"Friman, Richard"
Le crime organisé en Russie : nouvelles approches,"Friman, H. Richard"
Les religions et l'Etat en Russie : Une relation équivoque,"Moniak-Azzopardi, Agnieszka"
Les religions et l'Etat en Russie : Une relation équivoque,"Moniak, Agnieszka"
Faire la part entre l'art et l'activisme : les protestations spectaculaires dans la Russie contemporaine (2000-2010),"Zaytseva, Anna"
Faire la part entre l'art et l'activisme : les protestations spectaculaires dans la Russie contemporaine (2000-2010),"ZAYTSEVA, Anna"
La Russie dans les Archives ottomanes : Un dossier ottoman sur l'imâm Chamil,"Boratav, Pertev Nailî (1907-1998)"
La Russie dans les Archives ottomanes : Un dossier ottoman sur l'imâm Chamil,"Boratav, Pertev"
"L'étude des maladies du système nerveux en Russie : rapport adressé à M. le ministre de l'Instruction publique / par F. Raymond,...","Raymond, Fulgence (1844-1910)"
"L'étude des maladies du système nerveux en Russie : rapport adressé à M. le ministre de l'Instruction publique / par F. Raymond,...","Raymond, Fulgence"
"L'étude des maladies du système nerveux en Russie : rapport adressé à M. le ministre de l'Instruction publique / par F. Raymond,...","RAYMOND, Fulgence"
La direction spirituelle dans la Russie ancienne,"Journel, M. J. Rouët de"
La direction spirituelle dans la Russie ancienne,"Journel, M.-J. Rouët de"
"Les étrangers en Russie avant Pierre le Grand : diplomates, militaires, intellectuels","Lubimenko, Inna"
La sécurité énergétique en Russie : le cas de l'industrie électrique,"De La Robertie, Catherine"
L'habitat stalinien en Russie et en Pologne : un héritage actif au cœur des mutations territoriales,"Amestoy, Isabelle"
Россия ХХ века: Исторические эскизы. La Russie du 20ème siècle : Esquisses historiques.,"Peaucelle, Irina"
Россия ХХ века: Исторические эскизы. La Russie du 20ème siècle : Esquisses historiques.,"Irina, Peaucelle"
Les transitions en économie.Les changements de prix en Russie dans les années vingt,"Peaucelle, Irina"
Les transitions en économie.Les changements de prix en Russie dans les années vingt,"Irina, Peaucelle"
Une Russie plurielle,"Samson Normand De Chambourg, Dominique"
Une Russie plurielle,"Samson Normand de Chambourg, Dominique"
Une Russie plurielle,"Dominique, Samson-Normand De Chambourg"
"Les commissions d'enquête, l'administration sibérienne et l'impôt sur les peuples autochtones en Russie au XVIIIe siècle","PLATONOVA, Natalia"
"Les commissions d'enquête, l'administration sibérienne et l'impôt sur les peuples autochtones en Russie au XVIIIe siècle","Platonova, Natalia"
"Histoire de France sous Napoléon, dernière époque, depuis le commencement de la guerre de Russie jusqu'à la deuxième restauration. Tome 11 / par M. Bignon","Ernouf, Alfred-Auguste (1817-1889)"
Les socialismes nationaux de Russie des origines à 1917,"Urjewicz, Charles"
Les socialismes nationaux de Russie des origines à 1917,"URJEWICZ, Charles"
Une loi pour faire la guerre : la Russie et sa mémoire,"Koposov, Nikolay"
L'Union européenne et la Russie dans la gouvernance mondiale,"Sarkozy, Nicolas"
L'Union européenne et la Russie dans la gouvernance mondiale,"Sarkozy, Nicolas (1955-....)"
Une Russie en résistance?,"LEBEDEV, Anna"
Une Russie en résistance?,"COLIN LEBEDEV, Anna"
Les conflits du travail en Russie soviétique pendant le « communisme de guerre » et la N.E.P.,"Borodkin, Leonid L."
La Russie envisage un nouveau tracé pour South Stream,"Revel, Danièle"
Relations UE-Russie : les enjeux d’une nouvelle architecture gazière,"Revel, Danièle"
La campagne de Russie de 1812 : mythes et réalités,"Petiteau, Natalie"
La campagne de Russie de 1812 : mythes et réalités,"Petiteau, Nathalie"
"Bas-relief représentant Artémis, Apollon, Hermès et Peitho, découvert à Panticapée, Russie méridionale","Reinach, Salomon"
"Bas-relief représentant Artémis, Apollon, Hermès et Peitho, découvert à Panticapée, Russie méridionale","Reinach, Salomon (1858-1932)"
"Bas-relief représentant Artémis, Apollon, Hermès et Peitho, découvert à Panticapée, Russie méridionale","S, Salomon Reinach"
"Bas-relief représentant Artémis, Apollon, Hermès et Peitho, découvert à Panticapée, Russie méridionale","Salomon, Reinach"
Les relations financières entre la Russie et la France pendant la Première Guerre mondiale : arme financière et logiques de marché,"Feiertag, Olivier"
Les relations financières entre la Russie et la France pendant la Première Guerre mondiale : arme financière et logiques de marché,"Olivier, Feiertag"
L'européanité de la Russie en question. Les débats sur l'origine varègue de l'État et les polémiques ukrainiennes au XIXe siècle,"Marlène, Laruelle"
L'européanité de la Russie en question. Les débats sur l'origine varègue de l'État et les polémiques ukrainiennes au XIXe siècle,"Laruelle, Marlène"
L'européanité de la Russie en question. Les débats sur l'origine varègue de l'État et les polémiques ukrainiennes au XIXe siècle,"LARUELLE, Marlène"
L'européanité de la Russie en question. Les débats sur l'origine varègue de l'État et les polémiques ukrainiennes au XIXe siècle,"Laruelle, Marlene"
Le nouveau rôle de la Russie en Asie centrale : les migrations de travail des Centre-asiatiques vers la Fédération russe,"Marlène, Laruelle"
Le nouveau rôle de la Russie en Asie centrale : les migrations de travail des Centre-asiatiques vers la Fédération russe,"Laruelle, Marlène"
Le nouveau rôle de la Russie en Asie centrale : les migrations de travail des Centre-asiatiques vers la Fédération russe,"LARUELLE, Marlène"
Le nouveau rôle de la Russie en Asie centrale : les migrations de travail des Centre-asiatiques vers la Fédération russe,"Laruelle, Marlene"
"Le mythe aryen en Russie au XIXe siècle. La création d'une cosmogonie nationale, entre science et idéologie","Marlène, Laruelle"
"Le mythe aryen en Russie au XIXe siècle. La création d'une cosmogonie nationale, entre science et idéologie","Laruelle, Marlène"
"Le mythe aryen en Russie au XIXe siècle. La création d'une cosmogonie nationale, entre science et idéologie","LARUELLE, Marlène"
"Le mythe aryen en Russie au XIXe siècle. La création d'une cosmogonie nationale, entre science et idéologie","Laruelle, Marlene"
"Sainte Russie : l’art russe des origines à Pierre le Grand, sous la direction de Jannic Durand, Dorota Giovannoni, Ioanna Rapti","Mouchard, Florent"
"Sainte Russie : l’art russe des origines à Pierre le Grand, sous la direction de Jannic Durand, Dorota Giovannoni, Ioanna Rapti","Florent, Mouchard"
Différenciations spatiales des unités de production agricole dans la Russie d'Europe,"Maurel, Marie-Claude"
Différenciations spatiales des unités de production agricole dans la Russie d'Europe,"Maurel, Marie-Christine"
Différenciations spatiales des unités de production agricole dans la Russie d'Europe,"Breteque-Maurel, Marie-Claude de la"
Différenciations spatiales des unités de production agricole dans la Russie d'Europe,"Maurel, Marie-Claude (1947-....). Auteur du texte"
Différenciations spatiales des unités de production agricole dans la Russie d'Europe,"Maurel, Joseph-Marie (1852-1926). Auteur du texte"
La campagne collectivisée : société et espace rural en Russie / Marie-Claude Maurel ; préface de Pierre George,"Maurel, Marie-Claude"
La campagne collectivisée : société et espace rural en Russie / Marie-Claude Maurel ; préface de Pierre George,"Maurel, Marie-Christine"
La campagne collectivisée : société et espace rural en Russie / Marie-Claude Maurel ; préface de Pierre George,"Breteque-Maurel, Marie-Claude de la"
La campagne collectivisée : société et espace rural en Russie / Marie-Claude Maurel ; préface de Pierre George,"Maurel, Marie-Claude (1947-....). Auteur du texte"
La campagne collectivisée : société et espace rural en Russie / Marie-Claude Maurel ; préface de Pierre George,"Maurel, Joseph-Marie (1852-1926). Auteur du texte"
La stratégie de la Russie dans l'exportation de ses hydrocarbures : contrôle et diversification,"Teurtrie, David"
Par-delà la contrainte politique ? La banalité des bifurcations dans les carrières journalistiques en Russie contemporaine.,"Chupin, Ivan"
Par-delà la contrainte politique ? La banalité des bifurcations dans les carrières journalistiques en Russie contemporaine.,"Ivan, Chupin"
Par-delà la contrainte politique ? La banalité des bifurcations dans les carrières journalistiques en Russie contemporaine.,"Ivan, Chupin,"
Notes d'un voyage en Russie par L. Léouzon Le Duc. (1842 - 1844),"Léouzon Le Duc, Louis-Antoine (1815-1889)"
Notes d'un voyage en Russie par L. Léouzon Le Duc. (1842 - 1844),"Léouzon Le Duc, Louis-Antoine (1815-1889)."
Notes d'un voyage en Russie par L. Léouzon Le Duc. (1842 - 1844),"Léouzon Le Duc, Louis-Antoine."
Le crime organisé en Russie : nouvelles approches,"Oleinik, Anton"
Russie / Henri Barbusse,"Barbusse, Henri (1873-1935)"
Vision de Russie Choeur à 4 voix d'hommes sur un thême populaire russe. Henri Maréchal,"Maréchal, Henri (1842-1924). Compositeur"
Vision de Russie Choeur à 4 voix d'hommes sur un thême populaire russe. Henri Maréchal,"Maréchal, Henri (1842-1924)"
"Lettres intimes de M. Horace Vernet,... pendant son voyage en Russie (1842 et 1843) ; Fragmens inédits d'une ""Histoire des artistes vivans"" / par Théophile Sylvestre ; [préface de Champfleury]","Vernet, Horace (1789-1863)"
"Histoire de France sous Napoléon, dernière époque, depuis le commencement de la guerre de Russie jusqu'à la deuxième restauration. Tome 11 / par M. Bignon","Bignon, Louis-Pierre-Édouard (1771-1841)"
Maupassant en Russie : un exemple d'influence littéraire chez Isaak Babel´,"Sicher, Efraim"
La Russie et la Turquie au Caucase : se rapprocher pour préserver le statu quo ?,"Taspinar, Omer"
La Russie et la Turquie au Caucase : se rapprocher pour préserver le statu quo ?,"Hill, Fiona"
"Impressions de voyage .. [1], En Russie / Alexandre Dumas","Dumas, Alexandre (1802-1870). Auteur du texte"
"Impressions de voyage .. [1], En Russie / Alexandre Dumas","Dumas, Alexandre (1802-1870)"
"Impressions de voyage .. [1], En Russie / Alexandre Dumas","Dumas, Alexandre (1824-1895). Auteur de lettres"
"Impressions de voyage .. [1], En Russie / Alexandre Dumas","Dumas, Alexandre (1824-1895). Auteur du texte"
"Impressions de voyage .. [1], En Russie / Alexandre Dumas","Dumas, Alexandre"
"Impressions de voyage .. [1], En Russie / Alexandre Dumas","Dumas, Alexandre (1824-1895). Auteur ou responsable intellectuel"
"Impressions de voyage .. [1], En Russie / Alexandre Dumas","Dumas, Alexandre (1802-1870). Compositeur"
"Impressions de voyage .. [1], En Russie / Alexandre Dumas","Dumas, Alexandre (1802-1870). Auteur ou responsable intellectuel"
"Impressions de voyage .. [1], En Russie / Alexandre Dumas","Dumas, Alexandre (18..-1916). Auteur du texte"
"Frances Nethercott, Une rencontre philosophique : Bergson en Russie (1907-1917), 1995","Rolet, Serge"
"Frances Nethercott, Une rencontre philosophique : Bergson en Russie (1907-1917), 1995","Serge, Rolet"
"Révoltes et révolutions aux Amériques et en Europe (Russie incluse), 1773-1802. Documents.","Pierre, Benoist"
"Révoltes et révolutions aux Amériques et en Europe (Russie incluse), 1773-1802. Documents.","PIERRE, Benoist"
Les exemples de la Russie et de la Rome Antique,"Brissaud, Ivan"
Le transfert technique et la Russie ancienne (fin du XVe - fin du XVIIe siècle),"Gouzevitch, Irina"
Le transfert technique et la Russie ancienne (fin du XVe - fin du XVIIe siècle),"Gouzévitch, Irina"
«La Russie au-delà des clichés ,"Désert, Myriam"
«La Russie au-delà des clichés ,"Myriam, Désert"
«La Russie au-delà des clichés ,"Desert, Myriam"
«La Russie au-delà des clichés ,"DESERT, Myriam"
«La Russie au-delà des clichés ,"Myriam, Desert"
""" Russie : vraies et fausses ruptures ""","Désert, Myriam"
""" Russie : vraies et fausses ruptures ""","Myriam, Désert"
""" Russie : vraies et fausses ruptures ""","Desert, Myriam"
""" Russie : vraies et fausses ruptures ""","DESERT, Myriam"
""" Russie : vraies et fausses ruptures ""","Myriam, Desert"
Comment sont regardés les films sur la Grande Guerre patriotique dans la Russie actuelle ?,"Désert, Myriam"
Comment sont regardés les films sur la Grande Guerre patriotique dans la Russie actuelle ?,"Myriam, Désert"
Comment sont regardés les films sur la Grande Guerre patriotique dans la Russie actuelle ?,"Desert, Myriam"
Comment sont regardés les films sur la Grande Guerre patriotique dans la Russie actuelle ?,"DESERT, Myriam"
Comment sont regardés les films sur la Grande Guerre patriotique dans la Russie actuelle ?,"Myriam, Desert"
« Nous devons parler d’une seule voix ». Le Parlement européen face à la Russie : délibérations et positionnement (2004-2009),"Follebouckt, Xavier"
"""Rapprocher l'école et la vie ?"" Une histoire des réformes de l'enseignement en Russie (1918-1964)","Coumel, Laurent"
Chevalier Gamba. Mémoire sur la facilité qu'aurait la Russie pour attirer dans la Géorgie la plus grande partie du commerce de la Perse et de la Haute Asie,"Gamba, Jean-François (1763-1833)"
Une Russie en résistance?,"Mathieu, Lilian"
Une Russie en résistance?,"MATHIEU, Lilian"
"La Russie / par le marquis de Custine,...","Custine, Astolphe de (1790-1857)"
Une ancienne république autonome de la Russie : le Tatarstan,"Meyer, Maxime"
"Entre l’Europe, la Russie et l’Asie : la place de la Tachkent impériale telle qu’elle fut perçue par ses colons tsaristes1","Sahadeo, Jeff"
Mutations du capitalisme et institutionnalisation de la corruption dans la Russie contemporaine,"Barsukova, Svetlana"
Les catholiques russes et les pro-catholiques en Russie dans la première moitié du XIXe siècle,"Suchanek, Lucjan"
Russie : Droit foncier et stratégies agricoles,"Cordonnier, Christophe"
Usage et valeur du titre de Grand-Prince (Velikij Knjaz') dans la Russie du Nord-Est aux XIII et XIVe siècles,"Jean-Pierre, Arrignon"
Usage et valeur du titre de Grand-Prince (Velikij Knjaz') dans la Russie du Nord-Est aux XIII et XIVe siècles,"Arrignon, Jean-Pierre"
Usage et valeur du titre de Grand-Prince (Velikij Knjaz') dans la Russie du Nord-Est aux XIII et XIVe siècles,"Arrignon, J.-P."
Constructions des identités sociales et culturelles dans la Russie des XIXe et XXe siècles,"Blum, Alain"
Constructions des identités sociales et culturelles dans la Russie des XIXe et XXe siècles,"Le Noir, Alain"
Constructions des identités sociales et culturelles dans la Russie des XIXe et XXe siècles,"BLUM, Alain"
La mortalité en Russie aux XVIIIe et XIXe siècles : estimations locales à partir des Revizii,"Blum, Alain"
La mortalité en Russie aux XVIIIe et XIXe siècles : estimations locales à partir des Revizii,"Le Noir, Alain"
La mortalité en Russie aux XVIIIe et XIXe siècles : estimations locales à partir des Revizii,"BLUM, Alain"
Les transitions en économie.Les changements de prix en Russie dans les années vingt,"Gourieroux, Christian"
Les transitions en économie.Les changements de prix en Russie dans les années vingt,"Gourieroux, C."
Les transitions en économie.Les changements de prix en Russie dans les années vingt,"Gouriéroux, Christian"
Les transitions en économie.Les changements de prix en Russie dans les années vingt,"Gouriéroux, C."
Les transitions en économie.Les changements de prix en Russie dans les années vingt,"GOURIÉROUX, Christian"
"Irina Fougeron (Éd.), Études russes II. La Russie et le russe à travers les textes, 2000. (Coll. UL3 Travaux et recherches)","Comtet, Roger"
"Irina Fougeron (Éd.), Études russes II. La Russie et le russe à travers les textes, 2000. (Coll. UL3 Travaux et recherches)","Roger, Comtet"
"Irina Fougeron (Éd.), Études russes II. La Russie et le russe à travers les textes, 2000. (Coll. UL3 Travaux et recherches)","Comtet, Maurice"
Viktor Maksimovič Žirmunskij (1891-1971) passeur de cultures entre Russie et Allemagne,"Comtet, Roger"
Viktor Maksimovič Žirmunskij (1891-1971) passeur de cultures entre Russie et Allemagne,"Roger, Comtet"
Viktor Maksimovič Žirmunskij (1891-1971) passeur de cultures entre Russie et Allemagne,"Comtet, Maurice"
Géographie politique de la Russie de 2010,"Raviot, Jean-Robert"
Géographie politique de la Russie de 2010,"RAVIOT, Jean-Robert"
Géographie politique de la Russie de 2010,"Jean-Robert, Raviot"
Les rapports centre-régions en Russie : Rééquilibrage et continuité,"Raviot, Jean-Robert"
Les rapports centre-régions en Russie : Rééquilibrage et continuité,"RAVIOT, Jean-Robert"
Les rapports centre-régions en Russie : Rééquilibrage et continuité,"Jean-Robert, Raviot"
« Industrialisme » contre « sabotage » : le salaire en Russie à l'époque du communisme de guerre,"Salomoni, Antonella"
"Werth Nicolas, 1917, la Russie en révolution","Laurent, Natacha"
"Werth Nicolas, 1917, la Russie en révolution","Natacha, Laurent"
Nouveau management public et transformation des services publics en Russie : vers un État entrepreneur,"Sigman, Carole"
"Le ""nouveau management public"" en Russie : tribulations d'une transposition","Sigman, Carole"
"« Laurent Coumel, « Rapprocher l’école et la vie » ? Une histoire des réformes de l’enseignement en Russie soviétique (1918-1964), Toulouse, Presses universitaires du Mirail, coll. « Méridiennes », 2014, 503 p. »","Sigman, Carole"
Les premières élections libres en Russie (1989-1990) : quand la compétition dévore les enfants de la perestroïka,"Sigman, Carole"
"Les mutations de l'espace politique en Russie pendant la perestroïka (1986-1991). Les clubs politiques ""informels"" de Moscou et leurs dirigeants","Sigman, Carole"
19 juin : LES ÉTUDES AFRICAINES EN RUSSIE : L’ENGAGEMENT DE L’AUTORÉFLEXION,"Leclerc-Olive, Michèle"
19 juin : LES ÉTUDES AFRICAINES EN RUSSIE : L’ENGAGEMENT DE L’AUTORÉFLEXION,"LECLERC-OLIVE, Michèle"
"Pouvoir, catastrophe et représentation : mise(s) en scène politique(s) des incendies de l’été 2010 en Russie occidentale","Bertrand, Eva"
Basile Kerblay. La Russie de GorbatchevFrançoise Thom. Le moment Gorbatchev,"Anne, De Tinguy"
Basile Kerblay. La Russie de GorbatchevFrançoise Thom. Le moment Gorbatchev,"Anne, de Tinguy"
Basile Kerblay. La Russie de GorbatchevFrançoise Thom. Le moment Gorbatchev,"Claire-Anne, De Chazelles"
Basile Kerblay. La Russie de GorbatchevFrançoise Thom. Le moment Gorbatchev,"Anne, de Mathan"
Basile Kerblay. La Russie de GorbatchevFrançoise Thom. Le moment Gorbatchev,"Anne, De Saulce"
Les échanges artistiques entre la France et la Russie aux XIXe et XXe siècles,"Melani, Pascale"
Les échanges artistiques entre la France et la Russie aux XIXe et XXe siècles,"Pascale, Melani"
Les échanges artistiques entre la France et la Russie aux XIXe et XXe siècles,"Mélani, Pascale"
Heinrich Wölfflin en Russie : De la découverte de l'Italie et de l'art baroque russe à la conception de la méthode formaliste et structuraliste dans la critique littéraire,"Dmitrieva, Ekaterina"
La Russie dans l'économie mondiale,"Garanina, Olga"
L'insertion économique internationale de la Russie actuelle : une approche d'économie politique internationale,"Garanina, Olga"
Carte géologique et statistique de la Russie Méridionale par Xavier Hommaire de Hell / d'après ses observations et ses Itinéraires. Gravée par L. Bouffard,"Adiego, Ignasi-Xavier"
Carte géologique et statistique de la Russie Méridionale par Xavier Hommaire de Hell / d'après ses observations et ses Itinéraires. Gravée par L. Bouffard,"Adiego Lajara, Ignasi X."
Carte géologique et statistique de la Russie Méridionale par Xavier Hommaire de Hell / d'après ses observations et ses Itinéraires. Gravée par L. Bouffard,"Hommaire de Hell, Xavier (1812-1848). Cartographe"
Carte géologique et statistique de la Russie Méridionale par Xavier Hommaire de Hell / d'après ses observations et ses Itinéraires. Gravée par L. Bouffard,"Hommaire de Hell, Xavier (1812-1848). Auteur du texte"
"Jacques Jourquin, Souvenirs du mameluck Ali sur la campagne de Russie en 1812","Rey, Marie-Pierre"
"Jacques Jourquin, Souvenirs du mameluck Ali sur la campagne de Russie en 1812","Rey, Marie-Laure"
"Jacques Jourquin, Souvenirs du mameluck Ali sur la campagne de Russie en 1812","Rey, Marie-Dominique"
"Jacques Jourquin, Souvenirs du mameluck Ali sur la campagne de Russie en 1812","Rey, Marie-Pierre. Auteur du texte"
"Jacques Jourquin, Souvenirs du mameluck Ali sur la campagne de Russie en 1812","Rey, Marie-Louis (Le Dr)"
"Jacques Jourquin, Souvenirs du mameluck Ali sur la campagne de Russie en 1812","Rey, François-Marie. Auteur du texte"
"Jacques Jourquin, Souvenirs du mameluck Ali sur la campagne de Russie en 1812","Rey, Marie-Bénédicte"
"La Russie et les russes dans les écrits des prisonniers de la Grande Armée, une approche comparée","Rey, Marie-Pierre"
"La Russie et les russes dans les écrits des prisonniers de la Grande Armée, une approche comparée","Rey, Marie-Laure"
"La Russie et les russes dans les écrits des prisonniers de la Grande Armée, une approche comparée","Rey, Marie-Dominique"
"La Russie et les russes dans les écrits des prisonniers de la Grande Armée, une approche comparée","Rey, Marie-Pierre. Auteur du texte"
"La Russie et les russes dans les écrits des prisonniers de la Grande Armée, une approche comparée","Rey, Marie-Louis (Le Dr)"
"La Russie et les russes dans les écrits des prisonniers de la Grande Armée, une approche comparée","Rey, François-Marie. Auteur du texte"
"La Russie et les russes dans les écrits des prisonniers de la Grande Armée, une approche comparée","Rey, Marie-Bénédicte"
Les projets de réforme en URSS et en Russie depuis 1985,"Broclawski, Jean-Pierre"
La Russie dans la Première Guerre mondiale : Le témoignage de Pierre Pascal,"Sinanoglou, Ioannis"
La politique de la Russie et les principautés danubiennes : édition originale écrite en français par l'auteur / Général Cte de Ficquelmont,"Comtat, C."
La politique de la Russie et les principautés danubiennes : édition originale écrite en français par l'auteur / Général Cte de Ficquelmont,"Ficquelmont, Louis-Charles-Gabriel-Bonaventure de (1777-1857)"
La politique étrangère de la fédération de Russie dans la région de la Caspienne de Boris Eltsine à Vladimir Poutine (1992-2004) : enjeux énergétiques et géopolitiques,"Maximov, Olga"
"Impact redistributif des aides au logement en Russie : une analyse de ""propensity score matching"".","Clément, Matthieu"
"Pauvreté, pénurie et transition en Russie : de l'économie soviétique à l'économie de marché.","Clément, Matthieu"
Le théâtre de Voltaire en Russie au XVIIIe siècle,"Zaborov, Piotr"
Le théâtre de Voltaire en Russie au XVIIIe siècle,"Piotr, Zaborov"
Le théâtre de Voltaire en Russie au XVIIIe siècle,"ZABOROV, Petr"
Le théâtre de Voltaire en Russie au XVIIIe siècle,"Zaborov, Petr"
La stratégie d’influence informationnelle et numérique de la Russie en Europe,"Limonier, Kevin"
La Russie dans le cyberespace : représentations et enjeux,"Limonier, Kevin"
L'héritage soviétique dans la nouvelle organisation de la science en Russie : Quels effets sur les pratiques et la valorisation de la recherche ?,"Milard, Béatrice"
Musulmans et missions orthodoxes en Russie orientale avant 1917 [Essai de bibliographie critique],"Bennigsen, Alexandre"
Musulmans et missions orthodoxes en Russie orientale avant 1917 [Essai de bibliographie critique],"Alexandre, Bennigsen"
Musulmans et missions orthodoxes en Russie orientale avant 1917 [Essai de bibliographie critique],"Bennigsen, A."
"Tamara KONDRATIEVA, Gouverner et nourrir ; Du pouvoir en Russie (XVIe-XXe siècles), Paris, Les Belles Lettres, 2002, 274 p.","Serge, Aberdam"
"Tamara KONDRATIEVA, Gouverner et nourrir ; Du pouvoir en Russie (XVIe-XXe siècles), Paris, Les Belles Lettres, 2002, 274 p.","Aberdam, Serge"
"À l’Est du nouveau ? L’OTAN, la Russie et la guerre hybride","Lasconjarias, Guillaume"
Ordre N° 992 signé par le général Denikine ; brèves notes concernant le départ de Russie de Denikine,"Denikine, Anton Ivanovitch (1872-1947)"
Le droit de propriété en Russie : l'évolution d'une catégorie juridique au gré des bouleversements politiques et économiques,"Aurore, Chaigneau"
Le droit de propriété en Russie : l'évolution d'une catégorie juridique au gré des bouleversements politiques et économiques,"Chaigneau, Aurore"
La Russie isolée,"Mendras, Marie"
"Eduard Eichwald, « Sur la faune mammifère de la molasse nouvelle dans la Russie méridionale et sur l’époque préhistorique de la terre qui s’y rattache (… 1861) »","Eichwald, Eduard (1795-1876)"
Du prix Staline au prix Lénine : : l'émulation honorifique dans la Russie soviétique,"Jones, Polly"
Les socialismes nationaux de Russie des origines à 1917,"Weill, Claudie"
Les socialismes nationaux de Russie des origines à 1917,"WEILL, CLAUDIE"
La Russie moderne et l’Union Soviétique dans l’historiographie polonaise après 1989,"Borejsza, Jerzy W."
La Russie entre fédération et empire : contribution à la définition constitutionnelle de l'Etat russe,"Lirou, Raphaëlle"
Un Annuaire de la Russie soviétique,"d'A., P. C."
Un Annuaire de la Russie soviétique,"D'A., P. C."
La Russie face à la mondialisation : la voie du trans-impérialisme,"Wallander, Celeste A."
"Un « mensonge déconcertant » ? : La Russie au XXe siècle, sous la direction de Jean-Philippe Jaccard, avec la collaboration de Korine Amacher","Niqueux, Michel"
"Un « mensonge déconcertant » ? : La Russie au XXe siècle, sous la direction de Jean-Philippe Jaccard, avec la collaboration de Korine Amacher","Michel, Niqueux"
"Laruelle Marlène, Mythe aryen et rêve impérial dans la Russie du XIXe siècle, préface de Pierre- André Taguieff","Niqueux, Michel"
"Laruelle Marlène, Mythe aryen et rêve impérial dans la Russie du XIXe siècle, préface de Pierre- André Taguieff","Michel, Niqueux"
Grassroots movements et mouvements culturels en Russie et dans la sociologie des mouvements sociaux,"Pleyers, Geoffrey"
Grassroots movements et mouvements culturels en Russie et dans la sociologie des mouvements sociaux,"PLEYERS, Geoffrey"
Une forme de relief pseudo-karstique : les «pods » de Russie méridionale,"Meynier, André"
Une forme de relief pseudo-karstique : les «pods » de Russie méridionale,"Meynier, Andre"
Une forme de relief pseudo-karstique : les «pods » de Russie méridionale,"Meynier., André"
Démonétisation en Russie : un arbitrage favorable au maintien de l'emploi,"Maurel, Mathilde"
Recompositions territoriales en Russie et alentour (Territorial recombining in Russia and around),"Radvanyi, Jean"
Recompositions territoriales en Russie et alentour (Territorial recombining in Russia and around),"RADVANYI, Jean"
Recompositions territoriales en Russie et alentour (Territorial recombining in Russia and around),"Jean, Radvanyi"
Eurasie : Russie : Caucase : Caucase du Nord : Kraï de Stavropol : Ville thermale de Kislovodsk : Les eaux thermales,"Radvanyi, Jean"
Eurasie : Russie : Caucase : Caucase du Nord : Kraï de Stavropol : Ville thermale de Kislovodsk : Les eaux thermales,"RADVANYI, Jean"
Eurasie : Russie : Caucase : Caucase du Nord : Kraï de Stavropol : Ville thermale de Kislovodsk : Les eaux thermales,"Jean, Radvanyi"
La Russie minée par ses régions ? ...,"Radvanyi, Jean"
La Russie minée par ses régions ? ...,"RADVANYI, Jean"
La Russie minée par ses régions ? ...,"Jean, Radvanyi"
Eurasie : Russie : Caucase : Caucase du Nord : République du Daghestan : Cultures en terrasse près de Gounib,"Radvanyi, Jean"
Eurasie : Russie : Caucase : Caucase du Nord : République du Daghestan : Cultures en terrasse près de Gounib,"RADVANYI, Jean"
Eurasie : Russie : Caucase : Caucase du Nord : République du Daghestan : Cultures en terrasse près de Gounib,"Jean, Radvanyi"
"Eurasie : Russie : Caucase : Caucase du Nord : République de Karatchaïévo-Tcherkessie : Chaîne principale, entre Teberda et Dombaï","Radvanyi, Jean"
"Eurasie : Russie : Caucase : Caucase du Nord : République de Karatchaïévo-Tcherkessie : Chaîne principale, entre Teberda et Dombaï","RADVANYI, Jean"
"Eurasie : Russie : Caucase : Caucase du Nord : République de Karatchaïévo-Tcherkessie : Chaîne principale, entre Teberda et Dombaï","Jean, Radvanyi"
Eurasie : Russie : Caucase : Caucase du Nord : République du Daghestan : Toits traditionnels dans le village de Tchokh,"Radvanyi, Jean"
Eurasie : Russie : Caucase : Caucase du Nord : République du Daghestan : Toits traditionnels dans le village de Tchokh,"RADVANYI, Jean"
Eurasie : Russie : Caucase : Caucase du Nord : République du Daghestan : Toits traditionnels dans le village de Tchokh,"Jean, Radvanyi"
"Cabanne C., Sidorova V. et Tchistiakova E., La Russie aujourd'hui","Radvanyi, Jean"
"Cabanne C., Sidorova V. et Tchistiakova E., La Russie aujourd'hui","RADVANYI, Jean"
"Cabanne C., Sidorova V. et Tchistiakova E., La Russie aujourd'hui","Jean, Radvanyi"
"M. Rostovtzeff, La Peinture Décorative Antique en Russie Méridionale : Saint-Pétersbourg 1913-1914. Paris : Boccard, 2004. 2877541142","Moormann, E.M."
