name
Abacir
Abafine
Abassis
Abbatis de morue
Abricots confits
Acacia
Acacia ; germanica
Acaciavera
Accacia
Accorus
Achia
Acide ; arsenieux
Acide ; benzoïque
Acide ; borique
Acide ; borique et benzoïque
Acide ; citrique
Acide ; muriatique
Acide ; nitrique
Acide ; oxalique
Acide ; phosphorique
Acide ; succinique
Acide ; sulfurique
Acide ; tartrique
Acide arsenieux (Arsenic blanc)
"Acides : nitriques, muriatique et phosphorique"
Acides ; arsenieux
Acides ; arsenieux (arsenic blanc)
Acides ; boriques
"Acides ; citrique, tartrique, oxalique"
"Acides ; citriques, tartriques, oxaliques"
Acides ; muriatiques et nitromuriatiques
Acides ; nitriques
"Acides ; phosphoriques, benzoïques"
"Acides ; sulfurique (acide vitriolique, esprit ou huile de vitriol)"
Acides ; sulfuriques
Acier
Acier ; brut
Acier ; en barres
Acier ; ouvré
Acier brun
Acier brut
Acier commun
Acier en barre
Acier en barres
Acier ouvré
Aciers
Acon
Acons ; de selle
Acons ; démontés
Acons ; en gabares ; démontés
Acons demontés
Acons démonté
Acons démontés
Acons gabares démontés
Acore (herbe)
Acors demontés
Acorus
Acétate ; Sel d'étain
Acétate ; de cuivre ; cristallisé
Acétate ; de cuivre ; non cristallisé
Acétate ; de fer
Acétate ; de plomb
Acétates ; de cuivre ; cristallisé (verdet)
Acétates ; de cuivre ; non cristallisé (vert-de-gris) sec
"Acétates ; de cuivre, non cristallisé et cristallisé (verdet)"
Acétates ; de fer
Acétates ; de plomb
Acétates ; de plomb (Sel de Saturne)
Acétates ; de plomb (sel de saturne)
Acétates ; de potasse et de soude
Adoises
Aeuf
Affuts ; de canon
Affuts ; de fusils
Affuts de canon
Affuts de canons
Affût de canon
Afust de fut a canon
Agacia
Agaric
Agaric ; Amadouvier
Agaric ; Amadouvier ; brut
Agaric ; Amadouvier ; préparé. - Amadou
Agaric ; amadouvier ; brut
Agaric ; amadouvier ; préparé (amadou)
Agaric ; de mélèse
Agaric ; du mélèse
Agaric amadouvier
"Agaric amadouvier, brut et préparé"
Agaric brut et préparé
Agaric de mélèse
Agaric-Amadrouvier. - préparé
Agarie
"Agarie amadouvier, brut et préparé"
Agates ; brutes
Agates ; ouvrées
Agates ; ouvrées ; autres que chiques
Agates ; ouvrées ; chiques
Agathe
Agent vif
Agneaux
Agneaux en vie
Agoutals
Agoutals de bois
Agrais ; de navires
Agremens
Agremens ; de soye
Agremens ; de soye et d'argent
Agremens ; de soye et fil
Agremens ; de soye or et argent faux
Agremens ; or et argent
Agremens de soye
Agremens; de soye
Agrement ; au quart
Agrement ; de soye
Agrement de Soye
Agrements
Agrements ; d'or
Agrements ; de fil
Agrements ; de soye
Agrements ; or et argent
Agrements de fil
Agrements de soye
Agrets
Agrès ; de navire
Agrès ; de navire ; en voiles
Agrès de navire
Agrès de navire (jeux de voile)
Agrès de navires
Agrès de vaisseaux
Agrès et apparaux
Agrès et jeux de voiles
Agrès et voiles de navire
Agrémens
Agrémens ; au quart
Agrémens ; auquart
Agrémens ; de fil
Agrémens ; de fleurs
Agrémens ; de soye
Agrémens ; or et argent
Agrémens; d'argent
Agrémens; de fil
Agrément ; d'argent
Agrément ; de fil
Agrément ; de soye
Agréments
Agréments ; de soye
Agréments ; or et arg
Agréments de soye
Agrés ; de navire
Agréémens or et argent
Agrêmens soye et fil
Aiglefin
Aigre ; de cidre
Aigre ; de vitriol
Aigre de cedra
Aigre de cedre
Aigre de cidre
Aigre de vitriol
Aigrettes
Aiguiles
Aiguille
Aiguille ; a voile
Aiguille A Toile
Aiguille A coudre
Aiguille a coude
Aiguille a coudre
Aiguille à coudre
Aiguiller
Aiguilles
Aiguilles ; a coudre
Aiguilles ; a voile
Aiguilles ; a voiles
Aiguilles ; à coudre
Aiguilles ; à voile
Aiguilles A coudres
Aiguilles a Voile
Aiguilles a coudre
Aiguilles a coudres
Aiguilles a ralingues
Aiguilles a voile
Aiguilles a voiles
Aiguilles a voille
Aiguilles ancile
Aiguilles grosses
Aiguilles à coudre
Aijemis
Ail
Ailer
Ailes
Ailes de moulin
Ails
Aimant
Ains ; a pêcher
Ains ; à pescher
Ains a pecher
Ains a percher
Ains a pêcher
Ains et lignes a pescher
Ains et lignes à pêcher
Ains à pecher
Ains à pescher
Ains à pêcher
Airain
Airain ; en batterie
Airain ; non ouvré
Airain ; ouvré
Airain ouvré
Airin
Ajaimes
Ajamier
Ajamir
Ajamis
Ajamix
Ajamys
Ajanis
Ajustemens
Ajustemens de soye
Ajustement
Ajustement ; de femme
Ajustements
Ajustements ; de femme
Ajustements de femmes
Akia
Akia ; espèce de salade
Alaines de cordonnier
Alaisnes
Alambic
Alambic d'etain
Alambics
Alambics d'etain
Alambics d'étain
Alambics en cuivre
Alambie ; de terre
Alana ou tripoli
Alaya
Alayas
Alayes
Alazar
Albatre
Albâtre ; brut
"Albâtre ; sculpté, moulé ou poli"
Albâtre et marbres ouvrés
Albâtres et marbres ouvrés
Alcalis ; Cendres de bois vives
Alcalis ; Natrons
Alcalis ; Perlasse et cendre gravelées
Alcalis ; Potasse
Alcalis ; Salins
Alcalis ; Soude ; Autre que natrons
Alcalis ; Soude ; Natrons
Alcalis ; Soude de toute sorte
Alcalis ; Soude de toutes sortes
Alcalis ; Soudes de toute sorte
